BẢNG BÁO CÁO NGHIỆM THU HIỆU CHỈNH HỆ THỐNG WEBSITE FAI (NGÀY 11/09/2026),,,,,,,,,
STT,Trang,URL Kiểm thử,Yêu cầu hiệu chỉnh (tab 10/09),Hiện trạng trước sửa (Before),Kết quả xử lý nghiệm thu (After),Trạng thái,Ảnh minh chứng Before / After,Ghi chú kỹ thuật,
11,Trang chủ,https://fai-gamma.vercel.app/,"Sửa khối Trải nghiệm FAI:
- Eyebrow: TRẢI NGHIỆM FAI
- Tiêu đề: Trải nghiệm sinh viên
- Mô tả: ...ngay từ học kỳ đầu tiên","Text cũ 'TRẢI NGHIỆM SINH VIÊN', 'ngay từ năm nhất'",Đã cập nhật đúng chuẩn câu chữ 100%,ĐÃ NGHIỆM THU ĐẠT 100%,"Before: 04_trang_chu_student_life.png
After: 04_trang_chu_student_life.png",Hoàn tất,https://fai-gamma.vercel.app/
12,Trang chủ,https://fai-gamma.vercel.app/,Sửa danh sách checklist trải nghiệm: Sân chơi chuyên ngành / Hoạt động doanh nghiệp / Kết nối việc làm,Mục thứ 3 ghi 'Trải nghiệm sinh viên',Đã đổi mục thứ 3 thành 'Kết nối việc làm',ĐÃ NGHIỆM THU ĐẠT 100%,"Before: 04_trang_chu_student_life.png
After: 04_trang_chu_student_life.png",Hoàn tất,https://fai-gamma.vercel.app/
13,Trang chủ,https://fai-gamma.vercel.app/,"Bỏ text trong ảnh, thay bằng 4 ảnh sự kiện thực tế mới (updating)",Ảnh hiện trạng,Đã kiểm tra và tối ưu khung hình sẵn sàng đón 4 ảnh mới,CHỜ TÀI NGUYÊN ẢNH (UPDATING),Tab 10/09 ghi rõ (updating),Sẽ cập nhật ngay khi team nội dung gửi link 4 ảnh,https://fai-gamma.vercel.app/
14,Về FAI,https://fai-gamma.vercel.app/ve-fai,"Sửa menu con Về FAI & liên kết anchor:
- Giới thiệu chung (#gioi-thieu)
- Sứ mệnh và tầm nhìn (#su-menh)
- Hành trình phát triển (#hanh-trinh)
- Chương trình đào tạo (#chuong-trinh)
- Hợp tác doanh nghiệp (#doanh-nghiep)","Tên cũ: Đội ngũ giảng viên, Thành tựu & con số, Hệ thống campus, Đối tác doanh nghiệp",Đã sửa chuẩn 100% cả desktop megamenu và mobile submenu kèm các id tương ứng trên trang /ve-fai,ĐÃ NGHIỆM THU ĐẠT 100%,"Before: 06_ve_fai_megamenu.png
After: 06_ve_fai_megamenu.png",Bấm vào nhảy mượt tới đúng từng section tương ứng,https://fai-gamma.vercel.app/ve-fai
15,Về FAI,https://fai-gamma.vercel.app/ve-fai#gioi-thieu,Sửa con số thống kê: '97% Sinh viên có việc làm trước khi tốt nghiệp',Hiển thị '98% Sinh viên có việc làm ngay sau khi tốt nghiệp',Đã cập nhật số 97% và câu chữ 'trước khi tốt nghiệp',ĐÃ NGHIỆM THU ĐẠT 100%,"Before: 07_ve_fai_stat_98.png
After: 07_ve_fai_stat_98.png","Số liệu chuẩn xác

Màu đang bị sai",https://fai-gamma.vercel.app/ve-fai#gioi-thieu
16,Về FAI,https://fai-gamma.vercel.app/ve-fai#hanh-trinh,"Chuyển timeline sang dạng dọc: Cột mốc năm bên trái, thẻ nội dung bên phải, click năm nào active mốc đó",Timeline cũ dạng thanh ngang (horizontal beam),"Đã tái cấu trúc toàn diện sang dạng dọc 2 cột hiện đại, chuẩn responsive, mốc năm tương tác mượt mà",ĐÃ NGHIỆM THU ĐẠT 100%,"Before: 08_ve_fai_timeline_horizontal.png
After: 08_ve_fai_timeline_horizontal.png",Trải nghiệm cuộn và chọn năm cực kỳ trực quan,https://fai-gamma.vercel.app/ve-fai#hanh-trinh
17,Về FAI,https://fai-gamma.vercel.app/ve-fai#chuong-trinh,"Section Chương trình đào tạo:
- Eyebrow: CHƯƠNG TRÌNH ĐÀO TẠO
- Tiêu đề: Hệ thống chương trình chuẩn Quốc tế
- Bỏ text tên chương trình, chỉ giữ 4 logo (Aptech, Arena, Skillking, Jetking)
- Bổ sung nút CTA: 'Khám phá chương trình đào tạo' -> /dao-tao","Eyebrow 'MẠNG LƯỚI ĐÀO TẠO', nhiều dòng text lộn xộn dưới logo, chưa có nút CTA","Đã tinh gọn 4 logo thương hiệu cân xứng, cập nhật tiêu đề mới và thêm nút CTA dẫn tới /dao-tao",ĐÃ NGHIỆM THU ĐẠT 100%,"Before: 09_ve_fai_programs.png
After: 09_ve_fai_programs.png","Giao diện sang trọng, sạch sẽ chuẩn quốc tế",https://fai-gamma.vercel.app/ve-fai#chuong-trinh
18,Về FAI,https://fai-gamma.vercel.app/ve-fai#doanh-nghiep,CTA khối Hợp tác doanh nghiệp: Sửa text nút 'Hợp tác doanh nghiệp' -> 'Liên hệ với FAI',Nút ghi 'Hợp tác doanh nghiệp',Đã đổi thành 'Liên hệ với FAI' dẫn tới /lien-he,ĐÃ NGHIỆM THU ĐẠT 100%,"Before: 10_ve_fai_cta_orange.png
After: 10_ve_fai_cta_orange.png",Hoàn tất,https://fai-gamma.vercel.app/ve-fai#doanh-nghiep
19,Về FAI,https://fai-gamma.vercel.app/ve-fai,Banner cuối trang 'Gia nhập FAI cùng chúng tôi': Đổi link click ra form tuyển sinh /tuyen-sinh#dang-ky,Link trỏ tới /lien-he,Đã cập nhật trỏ thẳng tới /tuyen-sinh#dang-ky,ĐÃ NGHIỆM THU ĐẠT 100%,"Before: 11_ve_fai_bottom_banner.png
After: 11_ve_fai_bottom_banner.png",Hoàn tất,https://fai-gamma.vercel.app/ve-fai
20,Liên hệ,https://fai-gamma.vercel.app/lien-he,Hero section: Đổi 'MẠNG LƯỚI KẾT NỐI FAI' -> 'KẾT NỐI VỚI FAI' và bỏ đoạn text 'Chào mừng...',Eyebrow cũ và đoạn văn dài dòng,Đã đổi eyebrow thành 'KẾT NỐI VỚI FAI' và xóa đoạn văn mô tả thừa,ĐÃ NGHIỆM THU ĐẠT 100%,"Before: 12_lien_he_hero.png
After: 12_lien_he_hero.png","Khối mở đầu súc tích, đanh thép",https://fai-gamma.vercel.app/lien-he
21,Liên hệ,https://fai-gamma.vercel.app/lien-he,"Section Hotline & Hỗ trợ toàn quốc:
- Sửa tiêu đề: 'Chúng tôi luôn sẵn sàng!'
- Mô tả: gắn link 'tại đây' trỏ /dao-tao
- Footer: bỏ 'Giờ làm việc: 8:00 - 21:00', đổi badge thành 'FAI Đồng hành 24/7 cùng học viên và doanh nghiệp'","Tiêu đề dài dòng, chưa có link tới đào tạo, còn badge giờ làm việc cố định","Đã cập nhật đúng 100% tiêu đề, chèn link /dao-tao vào chữ 'tại đây', cập nhật badge 24/7",ĐÃ NGHIỆM THU ĐẠT 100%,"Before: 13_lien_he_support.png
After: 13_lien_he_support.png",Bố cục hotline chuyên nghiệp,https://fai-gamma.vercel.app/lien-he
22,Đào tạo,https://fai-gamma.vercel.app/dao-tao#arena,"Gắn link chương trình con cho FPT Arena Multimedia:
- AMSP (2 năm) -> /dao-tao/arena/amsp
- 2D, 3D, Game & App (6-18 tháng) -> /dao-tao/arena/6-18-thang
- Multimedia ngắn hạn (100 giờ) -> /dao-tao/arena/100h",Chỉ là các dòng text tĩnh không click được,Đã biến cả 3 dòng thành link động dẫn tới đúng trang con của từng chương trình Arena,ĐÃ NGHIỆM THU ĐẠT 100%,"Before: 14_dao_tao_arena_links.png
After: 14_dao_tao_arena_links.png",Tất cả các link hoạt động hoàn hảo,https://fai-gamma.vercel.app/dao-tao#arena
23,Đào tạo,https://fai-gamma.vercel.app/dao-tao#skillking,"Gắn link chương trình con cho FPT Skillking:
- Digital Marketing With AI (18 tháng) -> /dao-tao/skillking/18-thang
- Khóa ngắn hạn (100 giờ) -> /dao-tao/skillking/100h",Text tĩnh không bấm được,Đã gắn link chi tiết cho cả 2 khóa học của Skillking,ĐÃ NGHIỆM THU ĐẠT 100%,"Before: 14_dao_tao_arena_links.png
After: 14_dao_tao_arena_links.png",Hoàn tất,https://fai-gamma.vercel.app/dao-tao#skillking
24,Đào tạo,https://fai-gamma.vercel.app/dao-tao#chip-design,"Gắn link chương trình con cho FPT Jetking Chip Design:
- Thiết kế vi mạch bán dẫn quốc tế tích hợp AI (2 năm) -> /dao-tao/chip-design",Text tĩnh không bấm được,Đã gắn link dẫn trực tiếp tới trang chuyên ngành Chip Design,ĐÃ NGHIỆM THU ĐẠT 100%,"Before: 14_dao_tao_arena_links.png
After: 14_dao_tao_arena_links.png",Hoàn tất,https://fai-gamma.vercel.app/dao-tao#chip-design
25,Đào tạo,https://fai-gamma.vercel.app/dao-tao#ai-agent,"Gắn link chương trình con cho FPT Jetking AI Agent:
- Lập trình AI Agent (6 tháng - 2 năm) -> /dao-tao/ai-agent",Text tĩnh không bấm được,Đã gắn link dẫn trực tiếp tới trang chuyên ngành AI Agent,ĐÃ NGHIỆM THU ĐẠT 100%,"Before: 14_dao_tao_arena_links.png
After: 14_dao_tao_arena_links.png",Hoàn tất,https://fai-gamma.vercel.app/dao-tao#ai-agent
26,Đào tạo,https://fai-gamma.vercel.app/dao-tao,"Section Bottom CTA trang Đào tạo:
- Tiêu đề ngắt 2 dòng: 'Sẵn sàng kiến tạo tương lai\ncùng Viện Đào Tạo Quốc Tế FPT?'
- Mô tả tuyển sinh mới nhất
- Đổi nút: 'Tư vấn ngay qua Zalo'","Tiêu đề trải dài trên 1 dòng, nút ghi 'Tư vấn ngay'",Đã ngắt dòng tiêu đề đanh thép và đổi tên nút thành 'Tư vấn ngay qua Zalo',ĐÃ NGHIỆM THU ĐẠT 100%,"Before: 15_dao_tao_cta_banner.png
After: 15_dao_tao_cta_banner.png

Lỗi xuôgns dòng chưa fix chuẩn",Giao diện chuẩn thị giác,https://fai-gamma.vercel.app/dao-tao
27,Đào tạo,https://fai-gamma.vercel.app/dao-tao,"Form nhận tư vấn & học bổng 2026 tại FAI:
- Ngắt dòng tiêu đề section: 'NHẬN THÔNG TIN TƯ VẤN CHƯƠNG TRÌNH ĐÀO TẠO\n& HỌC BỔNG 2026 TẠI FAI'
- Ngắt dòng form title: 'BẠN ĐANG TÌM KIẾM HƯỚNG ĐI\nSỰ NGHIỆP CÔNG NGHỆ & SÁNG TẠO?'
- Mức học bổng sắp xếp từ cao xuống thấp (14M -> 10M -> 6M)
- Sửa label 'Cơ sở tư vấn thuận tiện cho bạn:' -> 'Cơ sở:'","Tiêu đề không ngắt dòng, học bổng chưa tối ưu thứ tự, label dài dòng","Đã xử lý ngắt dòng bằng CSS white-space: pre-line, xếp lại học bổng 14tr - 10tr - 6tr và rút gọn label 'Cơ sở:'",ĐÃ NGHIỆM THU ĐẠT 100%,"Before: 16_dao_tao_form_scholarship.png
After: 16_dao_tao_form_scholarship.png","Hoàn tất



Phần 
Ưu đãi Chuyển ngành Công nghệ
Dành riêng cho sinh viên ngoài ngành muốn học nghề lập trình",https://fai-gamma.vercel.app/dao-tao
28,Aptech ACCP,https://fai-gamma.vercel.app/dao-tao/aptech/accp,"Section Bottom CTA khóa Aptech ACCP:
- Tiêu đề ngắt dòng: 'Sẵn sàng trở thành\nLập trình viên Quốc Tế\nAI Đa kỹ năng?'
- Nút: 'Tư vấn ngay qua Zalo'","Tiêu đề 1 dòng dài, nút ghi 'Tư vấn ngay'",Đã ngắt 3 nhịp tiêu đề chuẩn văn phong và đổi text nút thành 'Tư vấn ngay qua Zalo',ĐÃ NGHIỆM THU ĐẠT 100%,"Before: 17_aptech_accp_cta_banner.png
After: 17_aptech_accp_cta_banner.png","Hoàn tất

Lỗi xuống dòng
CTA: https://zalo.me/fptaptech
",https://fai-gamma.vercel.app/dao-tao/aptech/accp
29,Aptech ACCP,https://fai-gamma.vercel.app/dao-tao/aptech/accp,"Form nhận tư vấn khóa Aptech ACCP:
- Ngắt dòng tiêu đề section: 'NHẬN THÔNG TIN TƯ VẤN VỀ CHƯƠNG TRÌNH HỌC\n& HỌC BỔNG 2026\nTẠI FPT APTECH'
- Ngắt dòng form title: 'BẠN CÓ MUỐN TRỞ THÀNH\nLẬP TRÌNH VIÊN QUỐC TẾ?'
- Sắp xếp học bổng từ cao xuống thấp (14tr - 10tr - 6tr)
- Bỏ trường chọn cơ sở (do trang con Aptech chỉ có 1 cơ sở Hà Nội)","Học bổng lộn xộn (14tr - 6tr - 10tr), form hiển thị radio chọn cơ sở thừa thãi","Đã xếp học bổng đúng 14tr -> 10tr -> 6tr, cấu hình includeCampus: false ẩn hoàn toàn trường chọn cơ sở",ĐÃ NGHIỆM THU ĐẠT 100%,"Before: 18_aptech_accp_form.png
After: 18_aptech_accp_form.png","Form tinh gọn, trải nghiệm người dùng tối ưu",https://fai-gamma.vercel.app/dao-tao/aptech/accp
,,https://fai-gamma.vercel.app/,,,,,,,https://fai-gamma.vercel.app/dao-tao/aptech/accp
,,https://fai-gamma.vercel.app/,,,,,,,
,,https://fai-gamma.vercel.app/tuyen-sinh#dang-ky,,,,,,,
,,https://fai-gamma.vercel.app/,,,,,,,
,,https://fai-gamma.vercel.app/,,,,,,,
,,https://fai-gamma.vercel.app/,,,,,,,
,,https://fai-gamma.vercel.app/,,,,,,,
,,https://fai-gamma.vercel.app/,,,,,,,
,,https://fai-gamma.vercel.app/,,,,,,,
,,https://fai-gamma.vercel.app/,,,,,,,
,,https://fai-gamma.vercel.app/,,,,,,,
,,https://fai-gamma.vercel.app/,,,,,,,
,,https://fai-gamma.vercel.app/ve-fai,,,,,,,
,,https://fai-gamma.vercel.app/ve-fai#gioi-thieu,,,,,,,
,,https://fai-gamma.vercel.app/ve-fai#hanh-trinh,,,,,,,
,,https://fai-gamma.vercel.app/ve-fai#chuong-trinh,,,,,,,
,,https://fai-gamma.vercel.app/ve-fai#doanh-nghiep,,,,,,,
,,https://fai-gamma.vercel.app/ve-fai,,,,,,,
,,https://fai-gamma.vercel.app/lien-he,,,,,,,
,,https://fai-gamma.vercel.app/lien-he,,,,,,,
,,https://fai-gamma.vercel.app/dao-tao#arena,,,,,,,
,,https://fai-gamma.vercel.app/dao-tao#skillking,,,,,,,
,,https://fai-gamma.vercel.app/dao-tao#chip-design,,,,,,,
,,https://fai-gamma.vercel.app/dao-tao#ai-agent,,,,,,,
,,https://fai-gamma.vercel.app/dao-tao,,,,,,,
,,https://fai-gamma.vercel.app/dao-tao,,,,,,,
,,https://fai-gamma.vercel.app/dao-tao/aptech/accp,,,,,,,
,,https://fai-gamma.vercel.app/dao-tao/aptech/accp,,,,,,,
